kalimat,prediksi_nb,prediksi_bert,bobot_bert,bobot_lexicon,kata_terkait
apresiasi polisi jasa bongkar menarkoba,joy,sadness,0.0,0.0,
muak lihat polisi hobi intimidasi rakyat,anger,sadness,0.0,0.0,
kadang pilih diam lapor polisi takut sulit curiga,fear,fear,0.0,0.0,
mantap tangan mudik polisi,joy,sadness,0.0,0.0,
hukum ilusi,fear,sadness,0.0,0.0,
percaya hukum tegak pandang bulu,trust,sadness,0.0,0.0,
polisi panutan tegak hukum,trust,sadness,0.0,0.0,
korban polisi abai,sadness,sadness,0.0,0.0,
kinerja polisi bagus,joy,sadness,0.0,0.0,
polisi tugas tilang jalan coba lihat jahat mata,fear,sadness,0.0,0.0,
senang jujur nilai,joy,joy,0.8,0.8,senang
terima kasih polisi sedia aman,joy,sadness,0.0,0.0,
kesel banget tangkap salah main gertak rakyat,fear,sadness,0.0,0.0,
kali aja bikin darah,anger,sadness,0.0,0.0,
bosan lihat sok benar kamera,anger,sadness,0.0,0.0,
terima kasih polisi salut,joy,sadness,0.0,0.0,
ngeri lihat tidak temu titik terang,fear,fear,0.0,0.0,
terima kasih polisi selamat korban,joy,sadness,0.0,0.0,
hukum tegak pandang bulu polisi peran,netral,sadness,0.0,0.0,
hebat polisi sigap tangan situasi darurat,joy,sadness,0.0,0.0,
kecewa jalan polisi,sadness,sadness,0.7,-0.7,kecewa
kecewa tindak polisi,sadness,sadness,0.7,-0.7,kecewa
dendam polisi jujur,trust,anger,0.9,-0.9,dendam
baik sektor polisi bawa dampak positif masyarakat,trust,joy,0.1,0.1,baik
sinergi polisi masyarakat,netral,sadness,0.0,0.0,
ngeri aparat pihak kuasa rakyat,fear,fear,0.0,0.0,
moga citra buruk,netral,sadness,0.0,0.0,
kinerja polisi tentu aman masyarakat,netral,sadness,0.0,0.0,
benci banget sistem adil,anger,anger,1.0,-1.0,benci
terima kasih polri upaya hormat jasa pahlawan,joy,sadness,0.0,0.0,
terima kasih polisi sehat laksana tugas,joy,sadness,0.0,0.0,
polisi tertib mobil kacau jalan,netral,sadness,0.0,0.0,
polisi lembaga tegak hukum,netral,sadness,0.0,0.0,
senang polisi sigap responsif,joy,joy,0.8,0.8,senang
polisi rakyat kecewa,sadness,sadness,0.7,-0.7,kecewa
berani lapor takut sangka,fear,fear,0.0,0.0,
gue percaya polisi bukti emang serius jaga adil,trust,sadness,0.0,0.0,
polisi milik mekanisme adu masyarakat butuh,netral,sadness,0.0,0.0,
polisi panjang polisi kumpul orang licik indonesia,joy,sadness,0.0,0.0,
hati sakit jahat biar,sadness,sadness,0.0,0.0,
sistem emang udah bobrok,anger,sadness,0.0,0.0,
haru polisi bantu warga,joy,sadness,0.6,-0.6,haru
hukum formalitas,fear,sadness,0.0,0.0,
alam urus tilang kecewa polisi,sadness,sadness,0.7,-0.7,kecewa
kesal polisi uang urus,anger,anger,0.5,-0.5,kesal
polisi edukasi hukum masyarakat paham,netral,sadness,0.0,0.0,
kuat sistem awas internal tingkat transparansi polisi,netral,sadness,0.0,0.0,
jaga nama institusi bikin malu,netral,sadness,0.0,0.0,
lindung,fear,sadness,0.0,0.0,
polisi bikin aman waswas,fear,fear,0.0,0.0,
terima kasih hadir tengah masyarakat,joy,sadness,0.0,0.0,
keren terima kasih polisi,joy,sadness,0.0,0.0,
hati hancur aparat andal,trust,sadness,0.0,0.0,
percaya masyarakat tanggung jaga polisi,netral,sadness,0.0,0.0,
aman sih salah kuasa,anger,sadness,0.0,0.0,
polri tindak jujur adil hukum jadi alat kuasa tindas lemah,sadness,sadness,0.0,0.0,
keren polisi jaga milu aman damai jujur adil,trust,sadness,0.0,0.0,
hukum main kuat menang lemah abai,sadness,sadness,0.0,0.0,
sedih peduli jabat masyarakat,sadness,sadness,0.8,-0.8,sedih
kecewa polisi henti kepala sekolah cabul,sadness,sadness,0.7,-0.7,kecewa
bangga polisi penuh hati,joy,joy,0.8,0.8,bangga
polisi batal konser ahmad dhani ribu serta kecewa,sadness,sadness,0.7,-0.7,kecewa
tidak salah takut urus polisi,fear,fear,0.0,0.0,
percaya kikis selesai,sadness,sadness,0.0,0.0,
sulit percaya aparat,sadness,sadness,0.0,0.0,
polisi layan masyarakat penuh hati,joy,sadness,0.0,0.0,
hukum indonesia butuh polisi jujur adil,trust,sadness,0.0,0.0,
tugas tantang moga polisi kompeten,netral,sadness,0.0,0.0,
bina lanjut personel polisi jaga profesionalisme,netral,sadness,0.0,0.0,
tertib masyarakat cipta,netral,sadness,0.0,0.0,
layan publik maksimal harap warga polisi,joy,sadness,0.0,0.0,
takut hukum tajam tumpul,fear,fear,0.0,0.0,
polisi amanah hati rakyat,trust,sadness,0.0,0.0,
tegang kali razia salah,fear,sadness,0.0,0.0,
senyum polisi ramah masyarakat,joy,sadness,0.0,0.0,
sulit percaya polisi profesional,trust,sadness,0.0,0.0,
rakyat butuh pasti hukum janji manis ujung ujung zonk,sadness,sadness,0.0,0.0,
terima kasih kapolri komitmen polisi jaga satu satu bangsa,joy,sadness,0.0,0.0,
jarang polisi terima kasih polri moga sejahtera,joy,sadness,0.0,0.0,
kecewa hukum negeri seakan formalitas,sadness,sadness,0.7,-0.7,kecewa
rakyat butuh adil janji kosong polisi,sadness,sadness,0.0,0.0,
percaya,trust,sadness,0.0,0.0,
jahat bebas keliar ngeri hidup,fear,fear,0.0,0.0,
polisi pegang teguh prinsip adil dukung rakyat,trust,sadness,0.0,0.0,
udah capek harap polisi begini aja,anger,sadness,0.0,0.0,
aman tidak polisi lambat tindak,fear,sadness,0.0,0.0,
harap anggota polisi milik hati nurani,trust,sadness,0.0,0.0,
hukum jalan polisi penuh tanggung,trust,sadness,0.0,0.0,
polisi takut hantu,fear,fear,0.0,0.0,
polisi profesional harap sistem hukum,netral,sadness,0.0,0.0,
aman butuh kerja polisi masyarakat,trust,sadness,0.0,0.0,
polisi biar rakyat tidak hidup takut,fear,fear,0.0,0.0,
terima kasih polisi peduli bersih indah kota,joy,sadness,0.0,0.0,
ngeri lihat tidak selesai,fear,fear,0.0,0.0,
polisi takut sih,anger,fear,0.0,0.0,
gede ujung ujung rakyat suruh abar tidak hasil,anger,sadness,0.0,0.0,
pantul kinerja polisi,joy,sadness,0.0,0.0,
masyarakat butuh polisi responsif,netral,sadness,0.0,0.0,
polisi lindung tambah takut,fear,fear,0.0,0.0,
partisipasi publik awas bantu jaga kredibilitas polisi,netral,sadness,0.0,0.0,
percaya polisi jujur,trust,sadness,0.0,0.0,
harap ubah kecewa,sadness,sadness,0.7,-0.7,kecewa
miris hukum tegak adil polisi,sadness,sadness,0.0,0.0,
jujur aja polisi buruk sorot,trust,sadness,0.0,0.0,
program tingkat kualitas sdm polisi bantu profesionalisme kerja,netral,sadness,0.0,0.0,
dendam polisi hati nurani,trust,anger,0.9,-0.9,dendam
takut dite habis habis,fear,fear,0.0,0.0,
percaya polisi ubah,trust,sadness,0.0,0.0,
moga reformasi polisi jalan arah,netral,sadness,0.0,0.0,
percaya kinerja polisi,trust,sadness,0.0,0.0,
bagi buku ilmu terima kasih polri,joy,sadness,0.0,0.0,
aman nyaman masyarakat prioritas,joy,sadness,0.0,0.0,
takut hukum belok suka hati,fear,joy,0.7,0.7,suka
citra bukti benar kerja,anger,sadness,0.0,0.0,
layan percaya masyarakat,netral,sadness,0.0,0.0,
polisi hadir lindung sumber takut,sadness,fear,0.0,0.0,
ngeri polisi diam,fear,fear,0.0,0.0,
polisi responsif lapor warga,netral,sadness,0.0,0.0,
brengsek hukum negeri uang,anger,sadness,0.0,0.0,
percaya polisi indonesia,trust,sadness,0.0,0.0,
miris rakyat teriak dengar,sadness,sadness,0.0,0.0,
polisi diam tidakadil,fear,sadness,0.0,0.0,
takut polisi gerak viral,fear,fear,0.0,0.0,
masyarakat polisi dukung aman,trust,sadness,0.0,0.0,
kolaborasi instansi tingkat efektivitas tegak hukum,netral,sadness,0.0,0.0,
polisi berani tolak korupsi dukung rakyat,trust,sadness,0.0,0.0,
jaya polisi indonesia,joy,sadness,0.0,0.0,
terima kasih polisi aman nyaman tiap jalan,joy,sadness,0.0,0.0,
percaya kinerja polisi sungguh adil,trust,sadness,0.0,0.0,
polisi lindung resah,fear,sadness,0.0,0.0,
evaluasi kala kinerja aparat baik sistem,netral,joy,0.1,0.1,baik
aman polisi siaga,joy,sadness,0.0,0.0,
percaya polisi jaga aman,trust,sadness,0.0,0.0,
terima kasih polisi udah siaga aman arus mudik moga sehat lancar tugas,joy,sadness,0.0,0.0,
polisi simbol lindung jaga,trust,sadness,0.0,0.0,
kecewa tenggelam,sadness,sadness,0.7,-0.7,kecewa
terima kasih polisi jaga lelah,joy,sadness,0.0,0.0,
takut bicara kritis polisi,fear,fear,0.0,0.0,
integritas polisi tentu hukum negeri,trust,sadness,0.0,0.0,
tidak lapor kabur aja,anger,sadness,0.0,0.0,
tegak hukum adil transparan,trust,sadness,0.0,0.0,
pecat orang polisi gagal,fear,sadness,0.0,0.0,
geram lihat aparat pikir,anger,anger,0.7,-0.7,geram
polisi adaptasi kembang zaman biar efektif,netral,sadness,0.0,0.0,
proses hukum jalan suai atur laku,netral,sadness,0.0,0.0,
tidak jujur polisi,trust,sadness,0.0,0.0,
brengsek viral polisi tindak,anger,sadness,0.0,0.0,
jengkel banget polisi diam,anger,anger,0.6,-0.6,jengkel
adil hak orang koneksi,fear,sadness,0.0,0.0,
polisi benah,trust,sadness,0.0,0.0,
tidak berani komentar takut bumerang,fear,fear,0.0,0.0,
kecewa polisi rumit,sadness,sadness,0.7,-0.7,kecewa
kecewa polisi malas ungkap jahat,sadness,sadness,0.7,-0.7,kecewa
adil tunggu viral,sadness,sadness,0.0,0.0,
sedih rakyat hilang percaya hukum,sadness,sadness,0.8,-0.8,sedih
terima kasih polisi jujur adil,joy,sadness,0.0,0.0,
lapor pingpong mengapa polisi,netral,sadness,0.0,0.0,
polisi lindung sumber ketidakadilan,sadness,sadness,0.0,0.0,
kinerja buruk gaji naik kerja aja tidak becus,anger,sadness,0.0,0.0,
takut lapor polisi,fear,fear,0.0,0.0,
polisi ayom tambah luka,sadness,sadness,0.0,0.0,
polisi benah cinta rakyat,trust,joy,1.0,1.0,cinta
aman moga polisi sigap,netral,sadness,0.0,0.0,
keluarga tabrak lari kecewa lapor polisi direspon,sadness,sadness,0.7,-0.7,kecewa
kecewa kinerja,sadness,sadness,0.7,-0.7,kecewa
berani polisi tegak adil patut apresiasi,trust,sadness,0.0,0.0,
polisi sigap,joy,sadness,0.0,0.0,
evaluasi kala kinerja polisi tingkat profesionalisme,netral,sadness,0.0,0.0,
takut butuh bantu polisi peduli,fear,fear,0.0,0.0,
polisi transparan tangan,netral,sadness,0.0,0.0,
rakyat anggap musuh,sadness,sadness,0.0,0.0,
hukum polisi jalan tugas integritas,netral,sadness,0.0,0.0,
aman polisi jaga aman nyaman masyarakat,netral,sadness,0.0,0.0,
dengar cerita seram polisi takut,fear,fear,0.0,0.0,
takut bicara jujur ujung,fear,fear,0.0,0.0,
khawatir urus polisi hasil kali tebak,fear,fear,0.0,0.0,
senang polisi bantu rakyat pandang bulu,joy,joy,0.8,0.8,senang
masyarakat aju adu alam kait hukum,netral,sadness,0.0,0.0,
polisi jujur kasihan banget kerja sistem kayak begini,trust,sadness,0.0,0.0,
kritik bangun bantu baik sistem,netral,joy,0.1,0.1,baik
seragam bikin tenang bikin curiga,fear,sadness,0.0,0.0,
polisi sikap adil jujur,trust,sadness,0.0,0.0,
moga polisi profesional tugas,netral,sadness,0.0,0.0,
tegak hukum adil polisi jujur,trust,sadness,0.0,0.0,
bahagia polisi masyarakat,joy,joy,1.0,1.0,bahagia
polisi junjung benar rakyat dukung,trust,sadness,0.0,0.0,
aman wilayah salah indikator hasil kinerja polisi,sadness,sadness,0.0,0.0,
tegak hukum jalan suai prinsip adil,netral,sadness,0.0,0.0,
polisi penuh integritas,trust,sadness,0.0,0.0,
kadang takut hukum pihak kuasa,fear,fear,0.0,0.0,
libat komunitas jaga aman bantu tugas polisi,netral,sadness,0.0,0.0,
tangan polisi transparan,netral,sadness,0.0,0.0,
kecewa aja liat polisi,anger,sadness,0.7,-0.7,kecewa
korban tunggu pasti polisi lamban,sadness,sadness,0.0,0.0,
geram kinerja polisi kecewa,sadness,sadness,0.7,-0.7,"geram, kecewa"
ngeri tilang tidak hak warga negara,fear,fear,0.0,0.0,
polisi andal bantu,trust,sadness,0.0,0.0,
orang takut lapor polisi,fear,fear,0.0,0.0,
salut polisi jujur berani tegak hukum adil,trust,sadness,0.0,0.0,
senang polisi inovatif tangan aman,joy,joy,0.8,0.8,senang
terima kasih polisi haru,joy,sadness,0.6,-0.6,haru
terima kasih saran polisi,joy,sadness,0.0,0.0,
tidak habis pikir kinerja polisi sedih banget,sadness,sadness,0.8,-0.8,sedih
dunia hukum kayak panggung sandiwara jago akting menang,anger,sadness,0.0,0.0,
sungguh senang polisi bersih transparan,joy,joy,0.8,0.8,senang
aman sulit,sadness,sadness,0.0,0.0,
takut lihat berita polisi korupsi,fear,fear,0.0,0.0,
polisi patroli rutin jaga aman wilayah,netral,sadness,0.0,0.0,
polisi dukung,trust,sadness,0.0,0.0,
sedih hukum kertas,sadness,sadness,0.8,-0.8,sedih
percaya hukum tegak polisi jujur,trust,sadness,0.0,0.0,
terima kasih lindung,joy,sadness,0.0,0.0,
polisi lambat tindak takut kasus hilang,fear,fear,0.0,0.0,
polisi cerdas inovatif bawa angin segar,trust,sadness,0.0,0.0,
polisi lupa rakyat,sadness,sadness,0.0,0.0,
benar deh tidak viral polisi tidak peduli rakyat,anger,sadness,0.0,0.0,
polisi pamrih pahlawan jati bangsa,trust,sadness,0.0,0.0,
polisi abai adil penting masyarakat,trust,sadness,0.0,0.0,
polisi hati percaya,trust,sadness,0.0,0.0,
bangga polisi layan rakyat penuh hati,joy,joy,0.8,0.8,bangga
marah lihat koruptor bebas santai,anger,anger,0.8,-0.8,marah
benar bikin darah dengar,anger,sadness,0.0,0.0,
keren polisi indonesia,joy,sadness,0.0,0.0,
polisi peduli bersih indah kota terima kasih,joy,sadness,0.0,0.0,
jadi aneh tahan bikin was banget,fear,sadness,0.0,0.0,
polisi milik wenang selidik,netral,sadness,0.0,0.0,
percaya polisi,trust,sadness,0.0,0.0,
polisi disiplin profesional bangga bangsa,joy,joy,0.8,0.8,bangga
harap polisi pihak rakyat,sadness,sadness,0.0,0.0,
terima kasih polisi cegah jahat moga depan jahat ungkap,joy,sadness,0.0,0.0,
percaya polisi harap adil,trust,sadness,0.0,0.0,
polisi ikut prosedur tindak,netral,sadness,0.0,0.0,
ngeri urus polisi rumit,fear,fear,0.0,0.0,
polisi cepat tangkap kritik tangkap jahat,fear,sadness,0.0,0.0,
moga polisi jalan tugas,netral,sadness,0.0,0.0,
kecewa polisi tangan,sadness,sadness,0.7,-0.7,kecewa
ayo polisi berantas habis laku menarkoba,trust,sadness,0.0,0.0,
siti rusmini kecewa lapor keras rumah tangga endap kantor polisi,sadness,sadness,0.7,-0.7,kecewa
takut tidakadil anggap wajar,fear,fear,0.0,0.0,wajar
rakyat aman lindung tindak kasar,fear,anger,0.6,-0.6,kasar
udah rusak sistem tidak percaya,anger,sadness,0.0,0.0,
tingkat sulit beda beda,netral,sadness,0.0,0.0,
miris butuh lindung abai,sadness,sadness,0.0,0.0,
sedih tidakadil rajalela,sadness,sadness,0.8,-0.8,sedih
mantap deh pokok polisi,joy,sadness,0.0,0.0,
polisi cepat tanggap tugas inspirasi,joy,sadness,0.0,0.0,
polisi goblok,joy,sadness,0.0,0.0,
rahasia hilang motor lapor polisi hilang mobil biadab,fear,sadness,0.0,0.0,
jarang layar kaca nyata lapang terima kasih polisi,joy,sadness,0.0,0.0,
emosi polisi salah guna senjata wenang,fear,sadness,0.0,0.0,
semangat polisi percaya lindung,trust,sadness,0.0,0.0,
kinerja polisi evaluasi kala biar optimal,netral,sadness,0.0,0.0,
tidak ngerti temu polisi main ancam,fear,sadness,0.0,0.0,
patut apresiasi kinerja polisi gerak cepat tangkap edar narkoba,joy,sadness,0.0,0.0,
polisi aman cemas,fear,fear,0.0,0.0,
sidik suai tingkat kompleksitas,netral,sadness,0.0,0.0,
terang kecewa polisi,sadness,sadness,0.7,-0.7,kecewa
tiga korban persekusi aku kecewa kepala pos polisi,sadness,sadness,0.7,-0.7,kecewa
gaji pajak rakyat rugi rakyat ironis banget,anger,sadness,0.0,0.0,
sentuh langsung hukum,anger,sadness,0.0,0.0,
respons cepat tangan lapor masyarakat,netral,sadness,0.0,0.0,
penting tingkat kinerja polisi,netral,sadness,0.0,0.0,
