"text","emotion"
"Biasanya nunggu demo berjilid-jilid, ini mah auto proses,","shock"
"Wah, gak nyangka polisi bisa secepat ini tangani kasusnya,","shock"
"Serius, ini bukan berita hoaks kan? Cepet banget,","shock"
"Tadi pagi baru viral, sorenya udah ada perkembangan besar,","shock"
"Biasanya butuh waktu lama, ini malah langsung jalan lancar,","shock"
"Gue sampe mikir dua kali, ini beneran kerja polisi?,","shock"
"Eh, kok bisa ya polisi gerak secepat ini? Kaget banget,","shock"
"Baru kali ini lihat polisi cepat tanggap, biasanya lama banget,","shock"
"Ini semacam mukjizat, baru viral langsung beres,","shock"
"Pas baca beritanya, gue kaget banget, gak nyangka,","shock"
"Kok bisa ya, cuma hitungan jam langsung ada tindakan?,","shock"
"Biasanya lama banget, ini malah langsung ditindaklanjuti,","shock"
"Wah ini patut diapresiasi, keren banget polisi kali ini,","shock"
"Gue kira cuma omong kosong, ternyata beneran ada progress,","shock"
"Kaget sih, karena biasanya kasus kayak gini mangkrak lama,","shock"
"Baru pagi lihat update, sore sudah ada perkembangan signifikan,","shock"
"Wow, polisi kita makin progresif aja nih, mantap,","shock"
"Gak biasanya secepat ini, pasti ada perubahan besar di internal,","shock"
"Seriusan ini polisi kita? Kaget banget liat aksinya,","shock"
"Ini baru namanya respons cepat, bikin 'terkejut' gue,","shock"
"Biasanya lama prosesnya, ini malah cepet banget,","shock"
"Gue gak percaya dulu, sekarang baru percaya kerja polisi,","shock"
"Baru kemarin ramai, sekarang udah ada hasil penyelidikan,","shock"
"Lho kok bisa ya? Ini perubahan yang mengejutkan,","shock"
"Kaget banget sama kecepatan penanganan kasusnya,","shock"
"Eh serius? Ini sih bukan polisi biasanya deh,","shock"
"Baru kali ini gue bilang, wow, hebat juga ya polisi,","shock"
"Gue gak nyangka polisi bisa kerja secepat ini,","shock"
"Kaget pas baca update terakhir, gak nyangka beneran diproses,","shock"
"Wah ini beda banget sama biasanya, langsung ada perkembangan,","shock"
"Seriusan ini bukan hoaks? Cepet banget tindakannya,","shock"
"Biasanya berbulan-bulan, ini cuma hitungan hari doang,","shock"
"Gue sampe speechless liat kecepatan penanganan kasus,","shock"
"Wow, mantap banget polisi kita, bikin kaget aja,","shock"
"Baru pagi viral, sore udah ada pengumuman resmi,","shock"
"Gue kira cuma wacana, ternyata beneran ada progres,","shock"
"Kok bisa ya? Ini respon yang bikin 'terkejut' netizen,","shock"
"Ini polisi kita makin bagus aja kerjanya, gak nyangka,","shock"
"Baru kali ini gue puas sama kecepatan respons aparat,","shock"
"Gue gak nyangka polisi bisa secepat ini tangani masalah,","shock"
"Wah, gak nyangka polisi bisa bertindak secepat ini,","shock"
"Ini baru kejutan, polisi langsung gerak tanpa basa-basi,","shock"
"Seriusan? Baru beberapa jam viral udah ada tindakan?,","shock"
"Biasanya lama banget, ini malah langsung cepat banget,","shock"
"Gue sampai ngedobel cek, ini beneran polisi kita?,","shock"
"Kaget banget, baru kali ini lihat penanganan secepat ini,","shock"
"Wow, tanggapan polisi kali ini bikin gue speechless,","shock"
"Ini bukan biasanya ya? Kok bisa langsung cepat banget?,","shock"
"Kaget pas baca berita, gak nyangka langsung ada hasil,","shock"
"Eh serius nih? Polisi kita makin jago aja,","shock"
"Gue kira cuma janji doang, ternyata beneran ada progres,","shock"
"Langsung diproses gini, gue sampai nggak percaya,","shock"
"Baru viral, langsung ada kabar baik, wow banget,","shock"
"Wah, tanggapan ini bikin gue optimis sama polisi,","shock"
"Kaget banget polisi tanggapnya, biasanya lama bener,","shock"
"Ini respon yang bikin netizen 'terkejut' sekaligus senang,","shock"
"Polisi kita makin oke aja nih, gak nyangka,","shock"
"Sumpah, gue gak nyangka polisi bisa secepat ini,","shock"
"Baru liat update, langsung ada hasil signifikan,","shock"
"Kok bisa ya polisi langsung bergerak secepat ini?,","shock"
"Ini baru namanya pelayanan publik yang oke banget,","shock"
"Gue sampai heran, kok bisa secepat ini penanganannya,","shock"
"Baru beberapa jam aja udah ada tindakan, mantap,","shock"
"Wow, ini progress yang jarang gue liat dari polisi,","shock"
"Gue kira cuma omong kosong, ternyata kerja beneran,","shock"
"Kaget parah, penanganannya lebih cepat dari ekspektasi,","shock"
"Eh, ini sih bukan polisi biasanya deh, keren banget,","shock"
"Gue gak nyangka polisi bisa cepat tanggap kayak gini,","shock"
"Ini baru update yang bikin gue kaget sekaligus senang,","shock"
"Baru kemarin rame, sekarang udah ada tindakan nyata,","shock"
"Kaget banget lihat progres kasusnya, gak nyangka,","shock"
"Langsung ditangani, gue sampe mikir dua kali ini beneran,","shock"
"Wah, polisi makin responsif aja, keren banget,","shock"
"Biasanya lama banget, ini malah langsung tuntas cepat,","shock"
"Gue gak nyangka, ini respon paling cepat yang pernah gue lihat,","shock"
"Seriusan? Polisi kita makin oke aja kerjanya,","shock"
"Baru viral, langsung ada kabar baik, mantap banget,","shock"
"Gue sampai gak percaya liat kecepatan tindakannya,","shock"
"Ini baru berita yang bikin gue seneng sekaligus kaget,","shock"
"Kok bisa ya, polisi langsung sigap banget, gue kaget,","shock"
"Serius, ini kerja polisi atau sulap? Cepet banget!,","shock"
"Baru viral, udah langsung ada perkembangan signifikan,","shock"
"Eh, ini sih di luar dugaan gue, langsung diproses,","shock"
"Gue kira cuma angin lalu, ternyata beneran ada tindakan,","shock"
"Wow, kinerja polisi kali ini bikin gue melongo,","shock"
"Biasanya lama, ini malah secepat kilat penanganannya,","shock"
"Langsung ada hasil, gue sampe gak percaya,","shock"
"Ini baru tanggapan yang bikin netizen heboh, kaget bener,","shock"
"Polisi kita makin kece aja, gak nyangka!,","shock"
"Gue sempet ragu, tapi sekarang beneran percaya,","shock"
"Eh, ini beneran nyata? Cepet banget progresnya,","shock"
"Baru aja rame, sekarang udah ada keputusan resmi,","shock"
"Astaga, polisi kita makin responsif aja ya,","shock"
"Ini pertama kali gue lihat penanganan secepat ini,","shock"
"Kaget parah liat progresnya, gak nyangka sih,","shock"
"Wow, keren banget polisi tanggapi kasus ini,","shock"
"Biasanya berbulan-bulan, ini cuma hitungan hari doang,","shock"
"Baru kemarin viral, sekarang sudah ada penangkapan,","shock"
"Gue gak nyangka polisi bisa kerja secepat ini,","shock"
"Ini perubahan besar, gue sampe speechless,","shock"
"Kok bisa ya, tiba-tiba ada progres besar?,","shock"
"Eh, ini beneran atau cuma hoaks? Cepet banget,","shock"
"Gue baru baca update terakhir, kaget banget,","shock"
"Polisi kita makin cepat tanggap, ini kejutan!,","shock"
"Baru kemarin ramai, sekarang udah beres masalahnya,","shock"
"Ini baru respons yang patut diapresiasi,","shock"
"Wow, gak nyangka polisi tanggapnya secepat ini,","shock"
"Gue kira cuma isapan jempol, ternyata nyata,","shock"
"Langsung ada tindakan, bikin gue kaget banget,","shock"
"Serius nih? Ini polisi beneran? Gak nyangka!,","shock"
"Baru viral, udah ada perkembangan yang wow banget,","shock"
"Polisi kita makin hebat, gue sampe takjub,","shock"
"Ini baru kerja nyata, bukan cuma janji-janji,","shock"
"Wow, progresnya cepet banget, bikin kaget!,","shock"
"Gue gak nyangka polisi bisa secepat ini bergerak,","shock"
"Baru kemarin rame, sekarang sudah clear masalahnya,","shock"
"Kaget banget sama kinerja polisi kali ini,","shock"
"Eh, ini benar-benar kejutan buat gue,","shock"
